Difficulty,Question,Answer,Hint
2,(x⁵)²=?,x^10,Multiply the exponents: 5 × 2 = 10
2,x⁶ · x² ÷ x³=?,x^5,Add then subtract: 6 + 2 - 3
2,x⁹ ÷ x⁶=?,x^3,When dividing subtract exponents: 9 - 6
2,(x²)⁵=?,x^10,Power of a power: 2 × 5 = 10
2,x¹⁵ ÷ x⁷=?,x^8,Subtract the exponents: 15 - 7
2,x⁴ · x³ ÷ x⁵=?,x^2,Add first then subtract: 4 + 3 - 5
2,(x⁴)³=?,x^12,Multiply the exponents: 4 × 3
2,x¹¹ ÷ x⁴ ÷ x²=?,x^5,Subtract both exponents: 11 - 4 - 2
2,x² · (x²)³=?,x^8,Multiply in parentheses first: 2 × 3 = 6 then add 2
2,(x⁶)²=?,x^12,Power of a power: multiply 6 × 2
3,x⁵ ÷ x⁵=?,1,When exponents are equal the result is x⁰ which equals 1
3,x³ ÷ x⁷=?,x^-4,Subtract exponents: 3 - 7 = -4
3,x² · x⁻³=?,x^-1,Add the exponents: 2 + (-3) = -1
3,x⁴ ÷ x⁸=?,x^-4,When dividing subtract: 4 - 8 = -4
3,(x⁻²)³=?,x^-6,Multiply the exponents: -2 × 3 = -6
3,x⁶ · x⁻⁴=?,x^2,Add the exponents: 6 + (-4) = 2
3,x⁻³ · x⁵=?,x^2,Add exponents: -3 + 5 = 2
3,x⁰ · x⁴=?,x^4,Remember x⁰ equals 1 so 1 times x⁴
3,x⁸ ÷ x⁸=?,1,Subtracting equal exponents gives x⁰ = 1
3,x⁻² · x⁻³=?,x^-5,Add the negative exponents: -2 + (-3) = -5
3,(x³)⁻²=?,x^-6,Multiply exponents: 3 × (-2) = -6
3,x⁷ · x⁻⁷=?,1,Adding opposite exponents: 7 + (-7) = 0
3,x² ÷ x⁻³=?,x^5,Subtracting a negative means add: 2 - (-3) = 5
3,(x⁻⁴)²=?,x^-8,Power of a power: -4 × 2 = -8
3,x⁻⁵ ÷ x²=?,x^-7,Subtract the exponents: -5 - 2 = -7
3,x³ · x⁰ · x²=?,x^5,x⁰ = 1 so just add 3 + 0 + 2
3,x⁴ ÷ x⁻²=?,x^6,Subtracting negative: 4 - (-2) = 6
3,x⁻³ · x⁻² · x⁵=?,1,Add all exponents: -3 + (-2) + 5 = 0
3,(x²)⁻³=?,x^-6,Multiply the exponents: 2 × (-3) = -6
3,x⁻⁶ ÷ x⁻²=?,x^-4,Subtract exponents: -6 - (-2) = -4
3,x⁵ · x⁻³ ÷ x²=?,1,Add and subtract: 5 + (-3) - 2 = 0
3,(x⁻³)⁻²=?,x^6,Multiply negatives: -3 × (-2) = 6
3,x⁰ ÷ x⁻⁴=?,x^4,0 - (-4) = 4
3,x⁻² ÷ x³=?,x^-5,Subtract: -2 - 3 = -5
3,x⁶ · x⁻⁴ ÷ x²=?,1,Add then subtract: 6 + (-4) - 2 = 0
